[GIN] 2022/11/26 - 11:22:29 | 200 |       4.147ms |             ::1 | POST     "/login/do_login"
[GIN] 2022/11/26 - 11:36:04 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:36:10 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:36:21 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:36:46 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:37:15 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:37:16 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:37:24 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:37:31 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:37:36 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:38:00 | 404 |            0s |       127.0.0.1 | POST     "/api/login/do_login"
[GIN] 2022/11/26 - 11:38:45 | 200 |      1.7744ms |       127.0.0.1 | POST     "/login/do_login"
[GIN] 2022/11/26 - 11:38:59 | 200 |       572.5µs |       127.0.0.1 | POST     "/login/do_login"
[GIN] 2022/11/26 - 11:41:17 | 404 |            0s |       127.0.0.1 | GET      "/login/do_login"
